,LIRF,EDDT,RJAA,EDDM,LFPG,SAEZ,CYYZ,MMMX,CYVR,EDDF,KJFK,SBGL,LEMD,ZSPD,OMDB,LTFM,ZBAA,VIDP,EFRO,EHEH,EFHK,LDZA,EBBR,EIDW,LGAV,BIKF,EETN,LKPR,FACT,ESSA,EGPH,LFQQ,LPPT
LIRF,0.0,1201.9453532976966,9907.71324590243,732.5545180372009,1103.018721080239,11152.64657458875,7086.091111460242,10223.713813904815,9002.229875705996,961.0099196871063,6867.05238818525,9169.145384992777,1329.6414771353595,9172.06002239199,4342.77025770545,1373.0851274414642,8150.518949275133,5933.755490675376,2879.518914006426,1195.6116672542362,2236.527853659462,537.5358486485911,1175.0465897459446,1887.877045473529,1085.5162109803623,3302.877772645817,2144.7432662773303,939.0896343890475,8447.492147870096,2026.0100284147838,1936.9351306841388,1202.6733084178702,1838.6369514241565
EDDT,1201.9453532976966,0.0,8941.163890156917,479.5750967765883,850.4974971095637,11933.024922521272,6477.895440186134,9713.650891230824,7979.429067098594,431.6826244968808,6367.419669376641,9999.899573136834,1853.640992836451,8428.152127029933,4634.536188630778,1712.5684114372132,7357.370941408385,5785.915771305621,1701.8548750228817,554.9586303035887,1118.8430222369009,784.5721209488278,633.1798423077714,1308.440821698761,1823.2230335509435,2379.1423258300797,1043.7146044590377,281.576913555292,9635.66209352229,838.7723740907484,1142.604257606154,737.3544487142678,2302.6857424820937
RJAA,9907.71324590243,8941.163890156917,0.0,9366.60393351221,9709.31227814645,18297.19994521465,10299.375959386833,11253.545374395047,7503.3643827802725,9366.014476753255,10829.468019943439,18531.195791108297,10771.365389773611,1795.1653470701212,7978.6421393820765,8980.31098908937,2133.3180240322217,5909.250123279566,7370.85294938375,9372.118080501896,7828.74735963798,9373.225157229546,9457.890709909856,9590.00408587783,9532.669034889863,8798.321608971684,7898.436176812024,9102.009097801203,14780.473523154042,8170.395509786672,9254.53199963534,9543.069153437295,11153.913596141403
EDDM,732.5545180372009,479.5750967765883,9366.60393351221,0.0,681.5692933331298,11571.029543749757,6639.638079367699,9844.86446381779,8340.059905344417,299.0736493547062,6480.773715334404,9616.447470619587,1496.9693797182808,8778.291229474024,4563.68638327735,1547.9829132915345,7721.985707506109,5899.979912189503,2179.5591456309016,573.3926461914037,1574.5399279099283,435.372805823521,596.828250612871,1381.2860601870107,1517.8783303811158,2669.2628149565803,1491.5970050572942,264.80111614065527,9179.18835595483,1317.3110466843007,1330.3366233869128,673.6101624423094,1983.6079398270863
LFPG,1103.018721080239,850.4974971095637,9709.31227814645,681.5692933331298,0.0,11100.067083107158,6018.511701618143,9198.923534624388,7924.983796384183,449.00506895345995,5833.386425117882,9184.123131785209,1064.514287652328,9266.538821703734,5238.30373722851,2213.88650722904,8189.724353071151,6565.92854943909,2358.800861619531,337.5067385741307,1895.5582344575273,1079.12295434704,251.42649654422516,784.9693369031335,2108.8935232724316,2225.1176543641695,1837.8392888325443,852.6058359792816,9363.399547331674,1539.1555178390888,868.6768639079258,177.29972762352907,1469.9632862919395
SAEZ,11152.64657458875,11933.024922521272,18297.19994521465,11571.029543749757,11100.067083107158,0.0,8985.871186138354,7396.77973611544,11306.011894863244,11502.137750607373,8534.711892841717,1995.428353470573,10084.891062660701,19605.48726466171,13675.498953376862,12266.824206187948,19289.70928642004,15794.490572393017,13282.900559270385,11430.931607617464,12981.387744901565,11662.142744355435,11343.810900959297,11025.405820274522,11725.05562218717,11460.844970957083,12932.640473630083,11830.92337423204,6886.082041979985,12598.548940741373,11358.623493704585,11246.712767060582,9632.30052917482
CYYZ,7086.091111460242,6477.895440186134,10299.375959386833,6639.638079367699,6018.511701618143,8985.871186138354,0.0,3247.890977992751,3346.065262820104,6342.662219553331,587.4088954268707,8271.186132408277,6058.631933989723,11414.11558758609,11080.592571500489,8171.274964889148,10560.263711728265,11639.223104050201,6243.416783834656,6069.742465228985,6598.71606358994,7071.777341214486,6043.2341631455665,5259.66456365284,8127.399159836934,4202.689344520942,6650.662663103135,6682.817209516884,13136.631844292497,6311.706893929508,5342.430556810266,5973.892370679363,5739.078245285105
MMMX,10223.713813904815,9713.650891230824,11253.545374395047,9844.86446381779,9198.923534624388,7396.77973611544,3247.890977992751,0.0,3944.571933641011,9551.980932636412,3365.6070797424704,7665.076602134776,9066.890918984103,12896.888950685934,14328.390980757462,11389.29648462006,12435.185662210233,14662.708439597296,9429.19591909452,9282.302300217629,9830.89999106367,10270.57949825156,9248.791253224706,8465.097546487645,11295.07456624003,7447.576134836068,9887.012309094367,9907.578033808217,13711.343976959879,9555.32776316363,8573.011598267407,9172.519686277623,8664.536583495246
CYVR,9002.229875705996,7979.429067098594,7503.3643827802725,8340.059905344417,7924.983796384183,11306.011894863244,3346.065262820104,3944.571933641011,0.0,8062.180754267541,3929.667087827683,11212.325649046332,8426.398460222947,9016.027042522252,11735.171711494506,9588.351242168645,8491.592942617246,11138.384837166739,6878.634761429539,7809.899033180775,7505.149627195536,8746.620493868128,7827.183480204533,7164.329817709851,9800.56504320369,5701.731716788582,7595.2331088364135,8252.779547259795,16465.20953208748,7411.6744673739295,7067.373027293543,7804.029472119836,8288.503867714651
EDDF,961.0099196871063,431.6826244968808,9366.014476753255,299.0736493547062,449.00506895345995,11502.137750607373,6342.662219553331,9551.980932636412,8062.180754267541,0.0,6189.1542734461045,9568.283601551813,1422.050572145159,8857.834873324387,4842.872064752151,1837.858012568955,7788.395209245619,6121.185112535329,2079.668281738598,274.34672759363383,1537.9389925099097,734.44155732098,304.70667836915743,1086.8940196113897,1815.8370182307754,2379.55963806095,1467.8755620952131,406.27801971921986,9393.055953949077,1222.987175365273,1032.8584656977316,392.7983156454291,1873.84706028188
KJFK,6867.05238818525,6367.419669376641,10829.468019943439,6480.773715334404,5833.386425117882,8534.711892841717,587.4088954268707,3365.6070797424704,3929.667087827683,6189.1542734461045,0.0,7729.093708099038,5762.025471470951,11872.965768605623,11000.82939708662,8027.011333646928,10977.61138682235,11754.94829850792,6318.434484589655,5920.872953839785,6606.914800539541,6905.329783235579,5885.3697807968165,5102.730002183939,7932.455806289573,4197.785190963327,6649.356410602336,6550.828678253268,12560.803274067739,6291.593874633475,5224.818687727301,5807.873795019511,5404.309620041176
SBGL,9169.145384992777,9999.899573136834,18531.195791108297,9616.447470619587,9184.123131785209,1995.428353470573,8271.186132408277,7665.076602134776,11212.325649046332,9568.283601551813,7729.093708099038,0.0,8146.258928316377,18271.284864397905,11884.360300095565,10271.767959942494,17318.624718116444,14063.511167522962,11451.376242794004,9519.607478719365,11078.85214073269,9684.845164511811,9432.38980302497,9192.749867185408,9730.98460712888,9842.304164811861,11021.75343361116,9879.080082772547,6087.871598998781,10709.342326685113,9529.814395113926,9339.141101101264,7714.979604082941
